isi_tweet,uk,hs
Agami bangsat',1,0
USER Klo agami nya indomi pasti tau',0,0
RT USER USER OALA ASU LEMOT AMAT GUE \xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
USER asu nan ok',1,0
"perasaan si sandi ini udah dari 2018 dah, kok tren lagi asu'",1,0
USER USER Asu Wkwkwkwk.',1,0
jaringan tsel knp unstable bgt sih asu',1,0
USER Anti ngahngoh plonga plongo cok asu jancokkkk',1,0
USER USER USER ngakak asu\xf0\x9f\x98\xad',1,0
USER pokok e mboh asu og',1,0
USER USER ASU PAKE SUB\xf0\x9f\x98\x87',1,0
USER OALA ASU LEMOT AMAT GUE \xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
km islam? beradab? punya akal? kalo chat pake salam dong asu',1,1
Wo asu https://t.co/DPh9M38ZOx',1,0
cih asu',1,0
terserah lah asu.',1,0
"USER Cok gak lu tolingin asu, cicak lagi slah arah malah lu poto'",1,0
USER Mesin penggerak asu',1,0
USER asu aku jek ono fotone koe nggo mantol karo numpak beat ramasuk neng hp lawass \xf0\x9f\x98\xad',1,0
bgst ngakak asu https://t.co/bpJyF9jOuD',1,0
USER bedanya apa asu',1,0
USER gua juga kaget asu',1,0
USER diam km asu',1,0
USER ASU AKAOWKAOAKALAKKAAKKA',1,0
"Asu bangett untuk kali ini aku geram segeram geramnya sama kasus bintang emon, anjing banget bazzer kontol'",1,1
"USER tapi komentar di ig ny knp ya pada belain dia? katanya 1 kesalahan bakal kalah sama 1000 kebaikan, tempik lah asu'",1,1
USER trending doang asu',1,0
USER matamu asu\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
USER USER USER Asu inget banget:v caper ke kakel anjrot',1,0
USER Sabar asu\nMonggo\nYoook',1,0
USER ih gila sumpahhh negara kita gilaaaaaaaaaaaaaaaaaaaaaaaaa orang speak up malah difitnah sama buzzer asu',1,1
"USER ternyata wes ndue gendaan, asu tenan'",1,0
USER USER heh asu',1,0
USER Oalah asu bucin',1,0
USER cok asu',1,0
Paringono siji wae gusti seng gemati lan ora nglarani ati. Wingi oleh pitu kaya asu kbh:)',1,0
USER USER USER Haha asu',1,0
"braiy ga membantu asu, ini guru gua ngambil soal dari manasi \xf0\x9f\x98\xad\xf0\x9f\x98\xad'",1,0
USER ih lucu a ak jadi asu \xf0\x9f\xa4\x97\xe2\x9d\xa3\xef\xb8\x8f',1,0
"jancuk, asu tenan, jingan...\nkangen hahaha.'",1,0
Gek stengah merem malah jerat jerit asu ngelu ndase',1,0
Asu? Gua kan memang samoyed https://t.co/CBBrsadoHT https://t.co/5IdnTCMcoa',0,0
"USER apakah kamu tau asu, kawan?'",0,0
USER Gw telat asu \xf0\x9f\x98\xad',1,0
perih asu.',1,0
DIH ASU GACHA BARU LAGI STARS GUA ABIS DUIT GUA ABIS bye ga ngikut gacha ini capek bgt https://t.co/EGiQcmKCyh',1,0
"USER aku bales 'asu kamu bos'""",1,0
USER Asu ngakak',1,0
"USER hukumny ASU ENTE KAGA PUNYA OTAK, AING TEH KANGEN EUY, SIA KAMANA WAE NI TABOKKAN KU AING'",1,0
USER Pada rep asu',1,0
USER kok gue ketawa asu',1,0
lah asu gua ikut mikir https://t.co/91lhFHsZsr',1,0
USER apa apaan g boleh duit \xf0\x9f\x98\xad cinta \xf0\x9f\x98\xad trs minta apa anying asu',1,0
USER YAKAN KEK ASU INI UWU BANGET APALAGI MANGA NYA\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e',1,0
USER BAJINGAN NDER METU KOE ASU',1,1
USER C nya ktinggalan asu\xf0\x9f\x98\xad\xf0\x9f\x91\x8e',1,0
