isi_tweet,uk,hs
USER Anne ke Haikyuu : Jangan selesai dulu plis aku mau lihat timnas\n\nAnne ke SnK : Anjir cepetan selesai dong anjir pusing aku ah sial pusiiing',0,0
"USER USER USER Anjir kena marah juga gua\xf0\x9f\xa4\xa3 siap komandan, lu juga tidur Bambank Jan nyuruh2 orang doang:v'",0,0
USER USER otak aing udah dipenuhi sama drakor aja anjir plis gada yg lain \xf0\x9f\x98\x82',0,0
USER Anjir ini siapa yang decs gua? Wkwkwk https://t.co/hQv9DuxgCb',0,0
USER RT USER 16. siapa si anjir https://t.co/x8eiShHADz',0,0
"USER Heran aing sama ksh, dari jaman the moon that embracing the sun sampe it\'s okay to not be okay muka nya ga berubah sama sekali anjir:"")'",0,0
USER bacooottttttt anjir sia sare we atuh meni ngeganggu udh jam segini teriak teriak',1,1
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
"USER USER Debi2 siapa gt gatauu. Liat postingan terbaru dia deh. Kaget anjir bisa muv on secepet itu, udh ngelamar anak org padahal jahatt\xe2\x98\xb9\xef\xb8\x8f\xe2\x98\xb9\xef\xb8\x8f'",0,1
USER USER anjir kaya kaka gue ngurus momo dr masi anjing chowchow kecil pacaran 3 thn lebih trs gatau hak asuh momo sm siapa jd di simpen di tempat pet:( wkwkwkwkw',0,0
"USER RT USER eh anjir aku siap redah highway lagi 13km dia boleh bagi banyak tu ja. bukan nak merungut, tapi boleh fikir logik kot. kal\xe2\x80\xa6'",0,0
"USER Anjir laper malam malam, malah kepikiran ayam kambal lagi sial.\nJastip ayam kambal dong woi\xf0\x9f\x99\x83'",0,0
USER USER Ini siapa anjir kok gue mutualan aama zayn',0,0
USER Day 1. Berhasil ngetweet tanpa kata kasar. Tapi di line sama wa masih keceplosan ngomong aing maneh. Terus tadi juga pas lagi ngobrol ngomong anjir dan tolol beberapa kali krn aku emg lg nyeritain ketololanku \xf0\x9f\x98\xad',1,0
USER USER USER USER USER USER USER USER USER USER USER Anjir ini siapa lagi\xf0\x9f\x98\xad\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb',0,0
"USER mentab gue daritadi siang penuh tapi badut anjir, zonk semua'",0,0
"USER Ga siap bsk msuk anjir msih muk bucin lele 24/7:')""",0,0
USER USER hah siapa anjir',0,0
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
USER USER siapa yang bilang gamau anjir wkwkwkw',0,0
"USER RT USER eh anjir aku siap redah highway lagi 13km dia boleh bagi banyak tu ja. bukan nak merungut, tapi boleh fikir logik kot. kal\xe2\x80\xa6'",0,0
USER USER ipe tuh siapa anjir',0,0
USER USER gue tadi mikir ini siapa anjir display name nya haus amat',0,0
"USER SAKA. Fi-nya ke elo dulu tuh asik dan sedikit sokab? Kalo gak sokab kita gak bakal bisa temenan, deng. Tiba-tiba ngajak kenalan gue disaat gue closedown dengan nama anxious/? Dan masih jamannya pake CSY, wkwk. Bakalan gue inget terus deh an",0,0
USER USER kalo kesana pasti keseringan gini \xe2\x80\x9ceh elu sama siapa?\xe2\x80\x9d \xe2\x80\x9cweii apakabar\xe2\x80\x9d \xe2\x80\x9coi suep anjir udah lama engga ketemu\xe2\x80\x9d \xe2\x80\x9ceh lu lagi lu lagi\xe2\x80\x9d',0,0
"USER klo ak bngun siang trs tiba"" ada kelas gmna anjir...'",0,0
USER USER Pak muh siapa anjir',0,0
USER USER USER USER Anjir siapa tuuu',0,0
USER USER anjir(?) siapaaa',0,0
USER USER anjir ni siapa yg buat\xf0\x9f\x98\xad',0,0
USER USER Kreatornya boruto siapa sih anjir',0,0
"USER RT USER eh anjir aku siap redah highway lagi 13km dia boleh bagi banyak tu ja. bukan nak merungut, tapi boleh fikir logik kot. kal\xe2\x80\xa6'",0,0
USER USER sial bgt gasih anjir kageeeeet.',0,0
USER USER USER // plot yg siang jg blm kelar anjir.',0,0
USER USER Anjir anjir anjir wah siap siap',0,0
"USER gue nyoba suruh temen gue yang samsek ga tau tentang ateez, trus suruh kasih tipe2 anak di kelas, nah gini jadinya, emang bener2 ye\n\nkatanya kalo dia boleh milih siapa pacarnya; dia bakal milih seonghwa.\n\xe2\x80\x9cmirip mantan anjir kin as",0,0
"USER Aku kira siapa anjir kok dnnya sama, ternyata aku sendiri\xf0\x9f\x98\xad'",0,0
USER USER USER Haaaaa?! Anjir siapa ini. Kumaha bisa ketemu enteee?! Lanjut dm ya',0,0
USER USER kemaren yg nyalain lagu tiktok di gc siapa sih? anjir aku kecanduan breee',0,0
"USER rpw tolong gue bingung milih 2 orang siapa yang harjs gue deketin \nyang satu lumayan berisik \ndan yang satunya lumayan cuek \n:"" \nkek yng lu pada tau yg cuek lebih menantang \ngue bingung anjir pilihnya mau deketin siapa \nno salty plis b",0,0
USER USER eh sumpah ke sananya serem bgt anjir jalanannya. hutan bgst. mana sepi bgt. ya siapa juga sih ya org waras yg mau ke sana',1,0
USER USER USER Gimana cerita anjir\xf0\x9f\x98\x82 bpknya siapa?',0,0
"USER RT USER eh anjir aku siap redah highway lagi 13km dia boleh bagi banyak tu ja. bukan nak merungut, tapi boleh fikir logik kot. kal\xe2\x80\xa6'",0,0
USER RT USER 16. siapa si anjir https://t.co/x8eiShHADz',0,1
